date,margin_balance,margin_change,index_value,unit
2025-12-31,343409624,2041927,28963.599609375,(仟元)
2026-01-02,346634298,3224674,29349.810546875,(仟元)
2026-01-05,350948272,4314949,30105.0390625,(仟元)
2026-01-06,354549156,3600884,30576.30078125,(仟元)
2026-01-07,357058834,2508418,30435.470703125,(仟元)
2026-01-08,352387558,-4671276,30360.55078125,(仟元)
2026-01-09,351492667,-894984,30288.9609375,(仟元)
2026-01-12,356489999,4997407,30567.2890625,(仟元)
2026-01-13,355638826,-851213,30707.220703125,(仟元)
2026-01-14,358452806,2813980,30941.779296875,(仟元)
2026-01-15,359299228,846422,30810.580078125,(仟元)
2026-01-16,363391797,4092569,31408.69921875,(仟元)
2026-01-19,369415656,6023859,31639.2890625,(仟元)
2026-01-20,371225738,1810082,31759.990234375,(仟元)
2026-01-21,367750150,-3475588,31246.369140625,(仟元)
2026-01-22,371734427,3989178,31746.080078125,(仟元)
2026-01-23,376076978,4342554,31961.509765625,(仟元)
2026-01-26,381580658,5503680,32064.51953125,(仟元)
2026-01-27,382728015,1147357,32317.919921875,(仟元)
2026-01-28,384920473,2192308,32803.8203125,(仟元)
2026-01-29,381778070,-3142403,32536.26953125,(仟元)
2026-01-30,383893252,2115182,32063.75,(仟元)
2026-02-02,378848321,-5044912,31624.029296875,(仟元)
2026-02-03,382125198,3276877,32195.359375,(仟元)
2026-02-04,384045976,1920778,32289.810546875,(仟元)
2026-02-05,382917747,-1128229,31801.26953125,(仟元)
2026-02-06,373990690,-8927045,31782.919921875,(仟元)
2026-02-09,375470000,1479310,32404.619140625,(仟元)
2026-02-10,372586424,-2883576,33072.96875,(仟元)
2026-02-11,368046780,-4539617,33605.7109375,(仟元)
2026-02-23,372155937,4657866,33773.26171875,(仟元)
2026-02-24,377495245,5339308,34700.8203125,(仟元)
2026-02-25,383127012,5631767,35413.0703125,(仟元)
2026-02-26,389861168,6734210,35414.48828125,(仟元)
2026-03-02,391622964,1761796,35095.08984375,(仟元)
2026-03-03,384358166,-7164798,34323.6484375,(仟元)
2026-03-04,376616380,-7741710,32828.87890625,(仟元)
2026-03-05,379166593,2550225,33672.94140625,(仟元)
2026-03-06,382683605,3517022,33599.5390625,(仟元)
2026-03-09,371960474,-10723111,32110.419921875,(仟元)
2026-03-10,368236339,-3724135,32771.87109375,(仟元)
2026-03-11,376148010,7911683,34114.19140625,(仟元)
2026-03-12,379366977,3219040,33581.859375,(仟元)
2026-03-13,385446747,6079770,33400.3203125,(仟元)
2026-03-16,392284076,6837329,33342.51171875,(仟元)
2026-03-17,,,33836.5703125,
2026-03-18,,,34348.578125,
2026-03-19,,,33689.6796875,
2026-03-20,,,33543.87890625,
2026-03-23,,,32722.5,
2026-03-24,,,32612.240234375,
2026-03-25,,,33439.109375,
2026-03-26,,,33337.62109375,
2026-03-27,,,33112.58984375,
2026-03-30,,,32518.16015625,
2026-03-31,,,31722.990234375,
2026-04-01,,,33174.8203125,
2026-04-02,,,32572.4296875,
2026-04-07,,,33229.8203125,
2026-04-08,,,34761.37890625,
2026-04-09,,,34861.16015625,
2026-04-10,,,35417.828125,
2026-04-13,,,35457.2890625,
2026-04-14,,,36296.12109375,
2026-04-15,,,36722.140625,
2026-04-16,,,37132.01953125,
2026-04-17,,,36804.33984375,
2026-04-20,,,36958.80078125,
2026-04-21,,,37605.109375,
2026-04-22,,,37878.46875,
2026-04-23,,,37714.1484375,
2026-04-24,,,38932.3984375,
2026-04-27,,,39616.62890625,
2026-04-28,,,39521.73046875,
2026-04-29,,,39303.5,
2026-04-30,,,38926.62890625,
2026-05-04,,,40705.140625,
2026-05-05,,,40769.2890625,
2026-05-06,,,41138.8515625,
2026-05-07,,,41933.78125,
2026-05-08,,,41603.94140625,
2026-05-11,,,41790.05859375,
2026-05-12,,,41898.3203125,
2026-05-13,,,41374.5,
2026-05-14,,,41751.75,
2026-05-15,,,41172.359375,
2026-05-18,,,40891.8203125,
2026-05-19,,,40175.55859375,
2026-05-20,,,40020.8203125,
2026-05-21,,,41368.2109375,
2026-05-22,,,42267.96875,
2026-05-25,,,43644.3984375,
2026-05-26,,,43525.37109375,
2026-05-27,,,44256.80078125,
2026-05-28,,,43636.44140625,
2026-05-29,,,44732.94140625,
2026-06-01,,,45337.91015625,
2026-06-02,,,45557.30859375,
2026-06-03,,,46459.16015625,
2026-06-04,,,45677.4609375,
2026-06-05,,,45070.94140625,
2026-06-08,,,43502.78125,
2026-06-09,,,44704.44140625,
2026-06-10,,,43225.5390625,
2026-06-11,,,43149.4609375,
2026-06-12,,,44169.0390625,
2026-06-15,,,45396.98828125,
2026-06-16,,,45809.19140625,
2026-06-17,,,45877.390625,
2026-06-18,,,46465.19921875,
2026-06-22,,,47741.51171875,
2026-06-23,,,47100.6484375,
2026-06-24,,,46043.6015625,
2026-06-25,,,46255.26171875,
2026-06-26,,,44571.76171875,
2026-06-29,,,44999.8984375,
2026-06-30,,,46125.91015625,
2026-07-01,,,47018.98828125,
2026-07-02,,,46744.16015625,
2026-07-03,,,46780.62109375,
2026-07-06,,,46556.390625,
2026-07-07,,,45479.109375,
2026-07-08,,,45734.41015625,
2026-07-09,,,45354.609375,
2026-07-13,,,45380.51953125,
2026-07-14,,,44737.94921875,
2026-07-15,,,45631.58984375,
2026-07-16,,,45624.98046875,
2026-07-17,,,42671.26953125,
2026-07-20,,,42449.69921875,
2026-07-21,,,44232.87109375,
2026-07-22,,,44825.78125,
2026-07-23,,,44850.80859375,
2026-07-24,,,43654.83984375,
2026-07-27,,,43634.19140625,
2026-07-28,,,41603.359375,
2026-07-29,,,40039.1796875,
2026-07-30,,,39933.30078125,
2026-07-31,,,43119.75,
2026-08-03,,,43386.41015625,
2026-08-04,,,43360.66015625,
2026-08-05,,,44611.6015625,
2026-08-06,,,44396.69921875,
2026-08-07,,,44225.91015625,
2026-08-10,,,44928.76171875,
2026-08-11,,,45120.71875,
2026-08-12,,,45518.0703125,
2026-08-13,,,46021.48046875,
2026-08-14,547059318,-2721336,45811.01171875,(仟元)
2026-08-17,550101672,3042354,45857.26953125,(仟元)
2026-08-18,547011379,-3090293,45308.6796875,(仟元)
2026-08-19,548190238,1178384,44719.3515625,(仟元)
2026-08-20,548407625,217387,44933.73828125,(仟元)
2026-08-21,546939322,-1468412,45224.2890625,(仟元)
2026-08-24,545259430,-1679894,44762.3203125,(仟元)
2026-08-25,546937698,1678111,45169.4609375,(仟元)
2026-08-26,554802585,7864887,45832.62109375,(仟元)
2026-08-27,559918784,5116199,45975.21875,(仟元)
